Sample	MI_003_H	MI_022_H	MI_028_H	MI_033_H	MI_034_H	MI_037_H	MI_047_H	MI_048_H	MI_058_H	MI_059_H	MI_061_H	MI_062_H	MI_073_H	MI_084_H	MI_085_H	MI_087_H	MI_090_H	MI_095_H	MI_098_H	MI_101_H	MI_105_H	MI_106_H	MI_107_H	MI_116_H	MI_118_H	MI_119_H	MI_132_H	MI_133_H	MI_151_H	MI_155_H	MI_158_H	MI_160_H	MI_165_H	MI_180_H	MI_181_H	MI_183_H	MI_185_H	MI_194_H	MI_196_H	MI_211_H	MI_212_H	MI_217_H	MI_222_H	MI_229_H	MI_230_H	MI_232_H	MI_233_H	MI_238_H	MI_241_H	MI_267_H	MI_270_H	MI_279_H	MI_287_H	MI_288_H	MI_291_H	MI_293_H	MI_295_H	MI_304_H	MI_312_H	MI_313_H	MI_319_H	MI_326_H	MI_328_H	MI_329_H	MI_331_H	MI_334_H	MI_340_H	MI_342_H	MI_345_H	MI_346_H	MI_350_H	MI_358_H	MI_361_H	MI_364_H	MI_367_H	MI_373_H	MI_377_H	MI_383_H	MI_391_H	MI_392_H	MI_396_H	MI_398_H	MI_405_H	MI_413_H	MI_415_H	MI_423_H	MI_426_H	MI_433_H	MI_447_H	MI_453_H	MI_456_H	MI_012_H	MI_013_H	MI_017_H	MI_019_H	MI_020_H	MI_023_H	MI_024_H	MI_029_H	MI_030_H	MI_035_H	MI_039_H	MI_041_H	MI_043_H	MI_044_H	MI_046_H	MI_052_H	MI_055_H	MI_064_H	MI_065_H	MI_072_H	MI_074_H	MI_078_H	MI_088_H	MI_091_H	MI_096_H	MI_109_H	MI_110_H	MI_115_H	MI_123_H	MI_124_H	MI_126_H	MI_129_H	MI_137_H	MI_138_H	MI_139_H	MI_143_H	MI_149_H	MI_150_H	MI_159_H	MI_162_H	MI_166_H	MI_167_H	MI_169_H	MI_175_H	MI_178_H	MI_184_H	MI_187_H	MI_189_H	MI_191_H	MI_192_H	MI_193_H	MI_195_H	MI_197_H	MI_201_H	MI_204_H	MI_213_H	MI_215_H	MI_219_H	MI_223_H	MI_225_H	MI_226_H	MI_248_H	MI_251_H	MI_256_H	MI_260_H	MI_261_H	MI_262_H	MI_263_H	MI_266_H	MI_271_H	MI_274_H	MI_278_H	MI_282_H	MI_283_H	MI_289_H	MI_297_H	MI_298_H	MI_300_H	MI_303_H	MI_308_H	MI_317_H	MI_330_H	MI_332_H	MI_336_H	MI_337_H	MI_338_H	MI_344_H	MI_347_H	MI_354_H	MI_372_H	MI_375_H	MI_381_H	MI_384_H	MI_389_H	MI_394_H	MI_397_H	MI_399_H	MI_409_H	MI_411_H	MI_412_H	MI_420_H	MI_424_H	MI_425_H	MI_434_H	MI_436_H	MI_437_H	MI_449_H	MI_450_H	MI_451_H	MI_455_H	MI_458_H1
Otu00010	35	1	26	15	22	8	6	58	23	0	8	22	13	72	4	22	0	1	16	8	13	23	21	16	8	13	7	0	109	0	1	28	205	13	46	7	111	22	49	310	29	174	53	0	44	3	38	3	244	51	4	14	12	15	34	81	0	1	3	1	1	18	0	0	1	27	4	4	86	13	349	4	73	13	29	4	124	6	230	0	1	45	3	5	0	14	2	0	32	0	14	37	0	15	0	84	7	41	8	476	44	53	9	17	14	42	117	0	3	89	165	25	250	1	14	17	265	12	74	10	19	6	109	3	5	106	15	0	174	31	185	111	0	35	36	32	66	19	104	96	5	8	6	69	10	73	730	4	4	0	22	123	1297	189	17	75	0	457	10	31	4	0	1	202	45	4	0	3	0	17	6	8	0	28	0	0	32	4	181	56	0	1	0	0	14	21	11	21	2	18	1	1	23	492	4	6	45	13	9	18	0	25
Otu00011	0	514	1	0	1	903	3	0	849	0	8	308	0	157	0	88	667	0	169	2	455	273	0	640	594	0	178	1	0	0	230	661	37	20	379	387	219	622	1	0	325	21	0	250	1	15	45	21	0	660	284	52	47	36	0	10	0	0	185	2	1	0	34	149	140	19	57	10	1	19	3	91	1	553	298	54	158	341	8	68	3	25	203	96	0	336	0	414	1	89	4	0	249	1	161	1	1	0	132	6	19	1	0	534	0	30	0	0	4	202	535	0	1	873	400	0	0	3	3	0	0	540	16	0	0	5	0	376	0	401	0	0	0	194	343	716	163	315	313	685	0	70	0	0	0	149	0	0	0	2	14	0	0	7	0	0	0	106	0	45	0	0	0	157	13	13	6	93	4	0	11	2	41	0	0	40	206	0	4	2	0	518	10	1	9	24	6	4	1	0	0	33	405	20	0	0	196	17	3	20	2	3
Otu00012	0	3	11	44	198	44	11	0	247	4	55	202	0	0	26	151	619	105	55	405	139	93	5	541	114	162	159	111	35	2	301	171	6	19	107	230	29	7	1	21	233	12	7	146	2	146	61	170	0	156	88	246	502	196	7	33	63	16	126	1	25	0	37	146	454	38	43	13	2	39	17	139	125	40	27	164	16	194	14	52	69	7	29	129	21	368	2	121	116	362	242	0	291	16	12	42	1	26	93	4	78	9	431	283	155	98	55	3	24	45	24	20	1	58	172	182	15	13	24	2	111	21	10	1	87	1	13	334	45	123	0	0	1	44	69	93	213	17	13	43	7	51	6	23	3	16	2	0	0	0	85	4	0	28	1	9	0	75	45	480	57	1	37	163	187	9	3	63	85	156	87	108	106	134	10	62	105	27	8	2	0	31	12	3	8	0	2	10	10	95	16	87	181	1	33	12	305	104	6	63	8	34
Otu00013	28	1	137	83	1	18	23	9	20	1	1	9	0	0	34	0	84	0	1	305	120	38	329	33	168	10	23	0	0	26	248	18	95	923	5	161	61	0	50	91	30	335	241	0	0	2	3	0	1	20	1	5	13	18	81	206	38	55	18	6	251	1488	58	0	29	158	45	20	5	31	127	3	90	46	2	6	601	33	72	0	3	0	102	21	0	16	2109	15	144	314	65	0	119	87	10	10	18	50	0	233	12	42	428	58	0	28	0	58	201	224	2	26	144	85	56	163	257	0	20	0	38	180	495	0	43	615	38	60	88	11	7	9	89	39	63	76	638	20	3	45	0	39	0	9	0	34	3	3	0	0	2	121	0	4	13	0	0	55	330	92	0	2	20	1	51	12	4	55	26	5	0	52	2	414	2	24	41	49	448	4	19	38	262	46	60	14	223	186	22	16	55	147	22	34	0	0	327	60	120	43	1	398
Otu00014	7	0	7	22	224	16	78	24	28	330	34	88	3	163	104	42	15	46	4	107	22	13	95	23	2	43	111	19	43	24	62	5	16	271	20	12	45	6	144	428	3	7	1	2	13	487	665	30	128	4	2	0	5	72	124	392	74	175	29	37	110	14	79	35	5	59	103	94	61	49	8	82	21	21	7	14	285	58	42	11	15	38	23	5	40	34	40	0	24	32	310	26	3	15	19	22	31	14	21	3	35	6	2	18	48	19	182	38	335	24	5	67	16	3	102	435	55	209	316	22	14	4	38	1	20	120	112	413	152	16	6	1	16	116	40	7	60	35	0	4	9	18	128	59	4	21	132	168	2	146	115	71	6	40	242	22	3	5	340	26	217	8	27	41	109	8	3	68	75	34	143	337	0	56	73	16	60	16	119	25	222	5	6	1	6	15	61	47	88	31	26	116	10	50	34	4	76	3	272	1	1	41
Otu00015	0	0	0	0	0	466	0	0	387	0	0	0	0	0	0	0	61	0	1	1	214	2	85	196	450	37	58	0	0	0	1	29	0	0	0	0	133	25	7	0	3	82	16	0	9	105	6	0	0	1	5	74	114	0	41	53	0	0	0	14	0	0	0	0	12	9	0	45	4	16	0	59	266	83	0	5	95	0	8	14	1	1	0	0	0	3	15	0	39	1	0	0	146	1	0	0	0	419	0	0	332	8	0	25	0	19	6	25	267	65	99	35	1	0	43	0	0	3	0	24	133	1	0	0	0	1	92	0	3	419	17	0	0	0	158	329	198	139	0	1	0	0	155	95	50	67	173	16	0	2	25	2	65	171	0	39	0	0	0	73	0	0	0	1	4	54	5	4	0	1	0	18	5	13	339	1	91	0	53	46	1	9	36	0	0	0	0	8	33	0	2	0	25	2	0	0	49	27	4	7	0	0
Otu00016	16	21	145	25	29	47	25	0	18	6	16	6	1	35	84	57	40	45	41	8	84	206	196	16	14	10	20	75	48	29	41	107	163	62	30	6	61	0	0	14	22	30	4	1	28	15	10	3	8	114	6	9	7	17	8	27	12	8	2	1	1	8	15	49	9	19	22	19	6	18	40	7	63	9	63	5	15	0	19	7	1	1	2	23	0	8	18	53	12	129	80	30	14	7	34	135	3	132	64	60	7	34	453	50	11	171	56	64	13	36	68	69	2	97	71	44	28	29	37	71	124	0	57	0	55	20	47	2	17	37	6	0	143	6	26	107	14	7	66	9	0	11	15	24	2	50	70	0	1	18	10	0	0	32	69	8	0	25	3	41	21	0	12	27	29	29	8	11	10	2	8	2	1	23	20	4	45	16	7	4	26	10	8	2	5	11	37	0	24	66	0	0	23	16	23	0	13	5	39	5	0	13
Otu00017	198	0	44	161	28	38	91	0	94	21	244	166	40	34	33	55	25	2	11	5	29	27	46	26	43	32	69	118	36	104	7	0	8	21	60	48	18	75	102	130	30	81	8	10	178	54	100	65	55	40	54	9	87	79	328	271	764	86	11	52	33	16	6	28	77	7	17	87	25	14	35	58	177	208	59	71	27	0	121	2	1	46	2	25	104	1	38	26	5	43	6	75	55	8	26	0	27	95	184	19	98	10	79	21	145	57	142	48	84	33	53	64	1	15	32	14	42	25	332	86	39	116	29	48	0	118	91	34	16	179	345	140	18	122	22	272	71	147	142	43	93	157	105	51	97	46	17	35	29	24	44	131	0	170	82	54	0	43	24	64	27	16	45	14	40	13	36	75	8	14	34	176	216	9	12	687	24	13	55	11	0	9	35	3	8	12	7	34	182	43	0	36	46	49	80	1	29	12	485	280	66	20
Otu00018	116	0	0	403	0	304	237	0	71	57	76	124	0	0	0	0	158	107	117	78	0	216	215	0	102	197	127	0	0	0	0	0	0	0	193	50	193	201	4	14	19	22	1	3	0	13	8	0	0	30	9	0	1	3	27	21	0	0	3	3	5	6	0	11	15	9	0	0	24	7	156	8	0	0	41	44	0	0	0	0	18	83	0	53	1	17	24	277	1	8	5	1	94	2	99	0	61	258	297	33	41	496	405	80	19	0	257	81	4	231	113	88	1	1	181	0	0	1	1	0	332	208	111	0	0	12	60	94	46	271	85	0	58	112	88	1	0	231	0	0	0	563	28	0	0	261	1	0	0	3	4	0	0	1	1	13	0	14	1	10	8	4	19	46	17	1	25	7	16	0	8	8	0	18	0	11	0	0	3	0	0	102	3	0	7	0	2	0	49	20	6	0	0	2	64	0	29	42	0	17	0	1
Otu00019	0	1	0	1	28	0	10	0	9	0	204	1	0	0	0	0	11	13	49	1	44	35	251	6	2	104	25	33	12	0	0	0	0	0	24	0	69	8	0	7	78	23	9	1	288	22	2	2	175	4	0	0	207	52	0	0	468	0	0	159	0	0	0	0	40	12	0	0	296	6	16	38	0	7	127	18	16	0	4	0	0	70	0	0	0	55	7	1	5	17	10	0	49	0	0	0	0	7	219	0	11	0	25	16	0	0	0	0	0	0	1	33	0	1	63	0	2	0	0	203	0	25	0	193	0	80	34	35	0	16	285	0	0	1	23	0	90	0	27	0	0	175	171	0	82	0	0	0	0	1	8	0	51	59	0	96	0	31	3	21	0	51	0	198	56	126	104	40	0	0	0	0	0	2	0	102	104	7	68	0	0	17	0	8	0	2	3	0	73	50	0	0	37	25	32	0	15	14	34	44	0	38
